location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
0,,26163,26163,"Landsdale Rd After Cass Bvd","Landsdale Rd/dunlop Ent",-31.8180694444444,115.840891111111
0,,26164,26164,"Baloo Cr Before Beachview Ct","",-32.5944866666667,115.642311111111
0,,26165,26165,"Castlewood Pwy After Edencourt Dr","Edencourt Dr / Castlewood Pwy",-32.1065011111111,115.950150555556
0,,26168,26168,"Selby St After Flynn St","Selby St / Flynn St",-31.9322422222222,115.804213888889
0,,26169,26169,"Pinjarra Rd After Mandurah Tce","",-32.5346955555556,115.719945
0,,26172,26172,"School Access Rd Lesmurdie High School S1","Lesmurdie Senior High School",-32.0127316666667,116.049231111111
0,,26179,26179,"Wright Rd  Before Heronwood Glde","",-32.12196,115.925300555556
0,,26180,26180,"Wright Rd  Before Nicholson Rd","",-32.122035,115.925381111111
0,,26181,26181,"Wright Rd  After Elegant App","",-32.1212772222222,115.92774
0,,26182,26182,"Wright Rd  Before Elegant App","",-32.1213133333333,115.927749444444
0,,26183,26183,"Wright Rd After Broadway Bvd","",-32.1250205555556,115.922020555556
0,,26184,26184,"Hastings St After Cobb St","",-31.9067477777778,115.759969444444
0,,26185,26185,"Lyon Rd Before Colorado Pde","Lyon Rd / Colorado Pde",-32.1787288888889,115.861179444444
0,,26186,26186,"Baldivis Rd Before Clyde Av","Baldivis Rd / Clyde Av",-32.3392072222222,115.821281111111
0,,26187,26187,"Baldivis Rd After Clyde Av","Baldivis Rd / Clyde Av",-32.3393761111111,115.821523333333
0,,26188,26188,"Nairn Dr Before Kingaroy Dr","Nairn Dr / Kingaroy Dr",-32.3200166666667,115.810850555556
0,,26189,26189,"Arpenteur Dr After Tranby Dr","Arpenteur Dr / Tranby Dr",-32.3419511111111,115.802458888889
0,,26190,26190,"Arpenteur Dr After Tranby Dr","Arpenteur Dr / Tranby Dr",-32.3423372222222,115.802418333333
0,,26191,26191,"Smirk Rd After Regency Av","Smirk Rd / Regency Av",-32.3583211111111,115.813127777778
0,,26192,26192,"Lyon Rd After Colorado Pde","Lyon Rd / Colorado Pde",-32.1785911111111,115.861262222222
0,,26193,26193,"Whitlock Rd Before Wharf St","",-32.0001138888889,115.952643333333
0,,26194,26194,"Whitlock Rd After Balcksmith St","",-32.0016061111111,115.954352777778
0,,26195,26195,"Whitlock Rd After Serisier Pwy","",-32.00157,115.954393888889
0,,26196,26196,"Marmion Av After Bluewater Dr","",-31.6006138888889,115.682077222222
0,,26197,26197,"Marmion Av Before Bluewater Dr","",-31.6008633333333,115.681975555556
0,,26198,26198,"Templetonia Cr After Kalari Dr","",-31.9341055555556,115.764003888889
0,,26199,26199,"Templetonia Cr After Marapana Rd","",-31.9342116666667,115.763726111111
0,,26200,26200,"Marapana Rd After Marimba Cr","",-31.9388588888889,115.766382777778
0,,26201,26201,"Wellington St Before Forrest Pl","",-31.9519155555556,115.860051666667
0,,26202,26202,"Pemberton Bvd After Jitarning Br","",-32.3210466666667,115.814310555556
0,,26203,26203,"Birdsville Dr Before Hundle Rd","",-32.3230511111111,115.816356666667
0,,26204,26204,"Tamworth Bvd Before Gunnedah Dr","",-32.3239533333333,115.817384444444
0,,26205,26205,"Baldivis Rd After Kookynie Loop","",-32.3264088888889,115.819587222222
0,,26206,26206,"Palomino Pde Before Heritage Park Dr","",-32.3451455555556,115.829072222222
0,,26207,26207,"Heritage Park Dr After Correa Wy","",-32.3428277777778,115.829725
0,,26208,26208,"Claret Ash Bvd After Pinto Av","",-32.3423122222222,115.827053888889
0,,26209,26209,"Grandis Dr After Winpara Wy","",-32.3410588888889,115.825463333333
0,,26210,26210,"Grandis Dr After Litoria Turn","",-32.3383077777778,115.825460555556
0,,26211,26211,"Safety Bay Rd Before Arpenteur Dr","",-32.3309694444444,115.806521111111
0,,26212,26212,"Safety Bay Rd After Arpenteur Dr","",-32.3333077777778,115.809171111111
0,,26213,26213,"Nairn Dr After Safety Bay Rd","",-32.3352516666667,115.811366111111
0,,26214,26214,"Nairn Dr After Clyde Av","",-32.3379322222222,115.810717222222
0,,26215,26215,"Grandis Dr Before Litoria Turn","",-32.3383066666667,115.825538888889
0,,26216,26216,"Grandis Dr Before Winpara Wy","",-32.3411005555556,115.825518888889
0,,26217,26217,"Claret Ash Bvd After Aspera Elb","",-32.3422238888889,115.826960555556
0,,26218,26218,"Heritage Park Dr After Claretash Bvd","",-32.3429511111111,115.829837222222
0,,26219,26219,"Palomino Pde After Hertitage Park Dr","",-32.3452272222222,115.829343333333
0,,26220,26220,"Nairn Dr After Clyde Av","",-32.3378894444444,115.810564444444
0,,26221,26221,"Nairn Dr Before Safety Bay Rd","",-32.3352427777778,115.811263888889
0,,26222,26222,"Safety Bay Rd Before Arpenteur Dr","",-32.33352,115.809033888889
0,,26223,26223,"Safety Bay Rd After Arpenteur Dr","",-32.3314333333333,115.806563333333
0,,26224,26224,"Baldivis Rd Before Kookynie Loop","",-32.3263372222222,115.819439444444
0,,26225,26225,"Tamworth Bvd After Curlewis Dr","",-32.3240872222222,115.817631666667
0,,26226,26226,"Birdsville Dr After Hundle Rd","",-32.3230372222222,115.816306666667
0,,26227,26227,"Pemberton Bvd After Cervantes Av","",-32.3210944444444,115.814844444444
0,,26228,26228,"Kingaroy Dr Before Aldersyde Mndr","",-32.3203705555556,115.811728333333
0,,26229,26229,"Smirk Rd Before Kempeana Wy","",-32.3546477777778,115.813043888889
0,,26230,26230,"Kempeana Way Before Cottonwood Dr","",-32.3542516666667,115.809851111111
0,,26231,26231,"Nairn Dr After Cottonwood Dr","",-32.3532722222222,115.808529444444
0,,26232,26232,"Ridge Bvd Before Bettong St","",-32.353945,115.806240555556
0,,26233,26233,"Arpenteur Dr After Ridge Bvd","",-32.3532744444444,115.803574444444
0,,26234,26234,"Arpenteur Dr After Platypus Grn","",-32.3507677777778,115.803458333333
0,,26235,26235,"Arpenteur Dr After Minchin Turn","",-32.3483733333333,115.801891111111
0,,26236,26236,"Arpenteur Dr After Smithers Pwy","",-32.3447772222222,115.801671111111
0,,26237,26237,"Arpenteur Dr Before Smithers Pwy","",-32.3449833333333,115.801790555556
0,,26238,26238,"Arpenteur Dr After Usher Mndr","",-32.3483805555556,115.801981666667
0,,26239,26239,"Arpenteur Dr Before Bristlebird App","",-32.3508105555556,115.803605
0,,26240,26240,"Arpenteur Dr After Gecko Rd","",-32.3531283333333,115.803645
0,,26241,26241,"Ridge Bvd After Bettong St","",-32.3539005555556,115.806396666667
0,,26242,26242,"Nairn Dr Before Cottonwood Dr","",-32.3532177777778,115.808496666667
0,,26243,26243,"Kempeana Way After Cottonwood Dr","",-32.3541855555556,115.810213888889
0,,26244,26244,"Smirk Rd After Camelot St","",-32.3549877777778,115.81311
0,,26245,26245,"Wright Rd After Broadway Bvd","",-32.1250116666667,115.921714444444
0,,26246,26246,"Matheson Rd After Kintail Rd","",-32.0100011111111,115.832096111111
0,,26247,26247,"Joondalup Dr After Chriton Dr","",-31.7132133333333,115.788604444444
